Gene_ID	Gene_Symbol	Species	Gene Name
3640	INSL3	Homo sapiens	insulin like 3(INSL3)
286887	KRT6C	Homo sapiens	keratin 6C(KRT6C)
259266	ASPM	Homo sapiens	abnormal spindle microtubule assembly(ASPM)
2306	FOXD2	Homo sapiens	forkhead box D2(FOXD2)
3638	INSIG1	Homo sapiens	insulin induced gene 1(INSIG1)
4969	OGN	Homo sapiens	osteoglycin(OGN)
2305	FOXM1	Homo sapiens	forkhead box M1(FOXM1)
2304	FOXE1	Homo sapiens	forkhead box E1(FOXE1)
2303	FOXC2	Homo sapiens	forkhead box C2(FOXC2)
2302	FOXJ1	Homo sapiens	forkhead box J1(FOXJ1)
284217	LAMA1	Homo sapiens	laminin subunit alpha 1(LAMA1)
2300	FOXL1	Homo sapiens	forkhead box L1(FOXL1)
3630	INS	Homo sapiens	insulin(INS)
3631	INPP4A	Homo sapiens	inositol polyphosphate-4-phosphatase type I A(INPP4A)
3632	INPP5A	Homo sapiens	inositol polyphosphate-5-phosphatase A(INPP5A)
3633	INPP5B	Homo sapiens	inositol polyphosphate-5-phosphatase B(INPP5B)
2309	FOXO3	Homo sapiens	forkhead box O3(FOXO3)
3635	INPP5D	Homo sapiens	inositol polyphosphate-5-phosphatase D(INPP5D)
2308	FOXO1	Homo sapiens	forkhead box O1(FOXO1)
3636	INPPL1	Homo sapiens	inositol polyphosphate phosphatase like 1(INPPL1)
4967	OGDH	Homo sapiens	oxoglutarate dehydrogenase(OGDH)
2307	FOXS1	Homo sapiens	forkhead box S1(FOXS1)
4968	OGG1	Homo sapiens	8-oxoguanine DNA glycosylase(OGG1)
3651	PDX1	Homo sapiens	pancreatic and duodenal homeobox 1(PDX1)
4982	TNFRSF11B	Homo sapiens	TNF receptor superfamily member 11b(TNFRSF11B)
2317	FLNB	Homo sapiens	filamin B(FLNB)
1	A1BG	Homo sapiens	alpha-1-B glycoprotein(A1BG)
2316	FLNA	Homo sapiens	filamin A(FLNA)
2	A2M	Homo sapiens	alpha-2-macroglobulin(A2M)
2315	MLANA	Homo sapiens	melan-A(MLANA)
2314	FLII	Homo sapiens	"FLII, actin remodeling protein(FLII)"
2313	FLI1	Homo sapiens	"Fli-1 proto-oncogene, ETS transcription factor(FLI1)"
2312	FLG	Homo sapiens	filaggrin(FLG)
9	nat1	Homo sapiens	N-acetyltransferase 1(NAT1)
3642	INSM1	Homo sapiens	INSM transcriptional repressor 1(INSM1)
4973	OLR1	Homo sapiens	oxidized low density lipoprotein receptor 1(OLR1)
3643	INSR	Homo sapiens	insulin receptor(INSR)
4974	OMG	Homo sapiens	oligodendrocyte myelin glycoprotein(OMG)
4975	OMP	Homo sapiens	olfactory marker protein(OMP)
3645	INSRR	Homo sapiens	insulin receptor related receptor(INSRR)
4976	OPA1	Homo sapiens	"OPA1, mitochondrial dynamin like GTPase(OPA1)"
3646	EIF3E	Homo sapiens	eukaryotic translation initiation factor 3 subunit E(EIF3E)
2319	FLOT2	Homo sapiens	flotillin 2(FLOT2)
4978	OPCML	Homo sapiens	opioid binding protein/cell adhesion molecule like(OPCML)
2318	FLNC	Homo sapiens	filamin C(FLNC)
4990	SIX6	Homo sapiens	SIX homeobox 6(SIX6)
3660	IRF2	Homo sapiens	interferon regulatory factor 2(IRF2)
4991	OR1D2	Homo sapiens	olfactory receptor family 1 subfamily D member 2(OR1D2)
3661	IRF3	Homo sapiens	interferon regulatory factor 3(IRF3)
3662	IRF4	Homo sapiens	interferon regulatory factor 4(IRF4)
1000	CDH2	Homo sapiens	cadherin 2(CDH2)
2331	FMOD	Homo sapiens	fibromodulin(FMOD)
