,GeneA,GeneB
0,AMPH,SYNJ1
1,SH3GL1,SYNJ1
2,ITSN1,SYNJ1
3,SH3GL2,SYNJ1
4,AP2M1,SYNJ1
5,SH3KBP1,SYNJ1
6,AP2A1,SYNJ1
7,GRB2,SYNJ1
8,PACSIN3,SYNJ1
9,FNBP4,SYNJ1
10,TNK2,SYNJ1
11,CD2BP2,SYNJ1
12,PACSIN1,SYNJ1
13,PACSIN2,SYNJ1
14,UNK,SYNJ1
15,SH3GLB1,SYNJ1
16,SMAP2,SYNJ1
17,SH3BP1,SYNJ1
18,AMPH,DNM1
19,SH3GL1,DNM1
20,SH3KBP1,DNM1
21,PACSIN3,DNM1
22,PACSIN1,DNM1
23,PACSIN2,DNM1
24,DNM2,DNM1
25,EPS15,DNM1
26,ABL1,DNM1
27,PIK3R1,DNM1
28,HTT,DNM1
29,CAV1,DNM1
30,SNX9,DNM1
31,TIMM50,DNM1
32,DYRK1A,DNM1
33,SH3GL3,DNM1
34,PLCG1,DNM1
35,DNM1,DNM1
36,MED31,DNM1
37,PIN4,DNM1
38,ASB13,DNM1
39,MOB4,DNM1
40,PRKCA,DNM1
41,PTK2,DNM1
42,GRIN1,DNM1
43,GRIN2D,DNM1
44,SNX33,DNM1
45,CLIC4,DNM1
46,SH3BP4,DNM1
47,FNBP1,DNM1
48,CDK5,DNM1
49,NOSTRIN,DNM1
50,UBASH3A,DNM1
51,MYO1E,DNM1
52,DRD2,DNM1
53,DNMBP,DNM1
54,NOS3,DNM1
55,CABIN1,DNM1
56,CLINT1,DNM1
57,MAP3K10,DNM1
58,AP2A2,DNM1
59,FER,DNM1
60,SPG11,DNM1
61,ADAM2,DNM1
62,CLIC3,DNM1
63,AMPH,DNM2
64,ITSN1,DNM2
65,SH3GL2,DNM2
66,GRB2,DNM2
67,PACSIN3,DNM2
68,PACSIN1,DNM2
69,PACSIN2,DNM2
70,SH3GLB1,DNM2
71,DNM2,DNM2
72,EPS15,DNM2
73,ABL1,DNM2
74,PTK2,DNM2
75,SNX33,DNM2
76,FNBP1,DNM2
77,UBASH3A,DNM2
78,MYO1E,DNM2
79,DRD2,DNM2
80,FER,DNM2
81,KAT5,DNM2
82,SMN1,DNM2
83,SMN2,DNM2
84,CD2AP,DNM2
85,TRIP10,DNM2
86,MAP3K5,DNM2
87,HCK,DNM2
88,VAV1,DNM2
89,ITSN2,DNM2
90,SORBS1,DNM2
91,KDR,DNM2
92,DDX39B,DNM2
93,CCT7,DNM2
94,PPIB,DNM2
95,RASSF1,DNM2
96,EIF3L,DNM2
97,RHOU,DNM2
98,DNALI1,DNM2
99,CRK,DNM2
100,WBP4,DNM2
101,PIWIL1,DNM2
102,TRAF4,DNM2
103,ZBTB16,DNM2
104,CCDC90B,DNM2
105,FNBP1L,DNM2
106,SMARCB1,DNM2
107,BIN1,DNM2
108,RPS2,DNM2
109,RWDD2B,DNM2
110,ZFAND6,DNM2
111,PEF1,DNM2
112,ITGA4,DNM2
113,APPL1,DNM2
114,CTTN,DNM2
115,DYNC1I1,DNM2
116,OCLN,DNM2
117,CBX1,DNM2
118,MRFAP1,DNM2
119,RAB7A,DNM2
120,TXN,DNM2
121,MYC,DNM2
122,AHI1,DNM2
123,CLPP,DNM2
124,PSTPIP1,DNM2
125,SNX2,DNM2
126,TYK2,DNM2
127,EVL,DNM2
128,MPP6,DNM2
129,SPRED2,DNM2
130,NAP1L3,DNM2
131,TIAM2,DNM2
132,BOK,DNM2
133,MAN1B1,DNM2
134,VSX2,DNM2
135,SNX18,DNM2
136,STX19,DNM2
137,KCNN3,DNM2
138,PDE6G,DNM2
139,FBXL4,DNM2
140,FCHSD1,DNM2
141,AMPH,MAPK6
142,ITSN1,MAPK6
143,CALR,MAPK6
144,MAP3K7,MAPK6
145,SHC1,MAPK6
146,RARA,MAPK6
147,EIF4A1,MAPK6
148,PRKAR1A,MAPK6
149,HSP90B1,MAPK6
150,INS,MAPK6
151,NELFB,MAPK6
152,ACTG1,MAPK6
153,MCM3,MAPK6
154,DBN1,MAPK6
155,CSE1L,MAPK6
156,PHGDH,MAPK6
157,UBA52,MAPK6
158,PIH1D1,MAPK6
159,KNSTRN,MAPK6
160,HNRNPD,MAPK6
161,CCND3,MAPK6
162,RANBP9,MAPK6
163,TTK,MAPK6
164,HIP1,MAPK6
165,CFL1,MAPK6
166,ANK3,MAPK6
167,GORASP1,MAPK6
168,EIF3C,MAPK6
169,MGAT1,MAPK6
170,SNW1,MAPK6
171,UBE2L3,MAPK6
172,DKC1,MAPK6
173,DPPA4,MAPK6
174,PLEKHM1,MAPK6
175,CA12,MAPK6
176,MAP3K12,MAPK6
177,GLRX3,MAPK6
178,ITGB3BP,MAPK6
179,PRKAB1,MAPK6
180,NDUFS6,MAPK6
181,HAUS2,MAPK6
182,DCTN2,MAPK6
183,WFS1,MAPK6
184,ARPC3,MAPK6
185,KLC1,MAPK6
186,MDK,MAPK6
187,SPRR2D,MAPK6
188,NRXN2,MAPK6
189,RAB31,MAPK6
190,EIF1,MAPK6
191,PDLIM1,MAPK6
192,PHC2,MAPK6
193,HACL1,MAPK6
194,CYTH2,MAPK6
195,ZNF205,MAPK6
196,RAB2A,MAPK6
197,EDF1,MAPK6
198,JUNB,MAPK6
199,MON1A,MAPK6
200,ARHGDIA,MAPK6
201,PPP1R7,MAPK6
202,NUDT5,MAPK6
203,HNRNPH3,MAPK6
204,MYBL2,MAPK6
205,ZNF331,MAPK6
206,USP20,MAPK6
207,MAPK6,MAPK6
208,ZNF600,MAPK6
209,PTPMT1,MAPK6
210,SLC41A3,MAPK6
211,GATA1,MAPK6
212,TDP2,MAPK6
213,GALNT7,MAPK6
214,CRELD2,MAPK6
215,SERPINA4,MAPK6
216,ZNF579,MAPK6
217,ACTR1B,MAPK6
218,ZNF775,MAPK6
219,MTG2,MAPK6
220,C21ORF59,MAPK6
221,CA1,MAPK6
222,CDH13,MAPK6
223,DNAJC28,MAPK6
224,DSCR3,MAPK6
225,FBXL16,MAPK6
226,GPX1,MAPK6
227,CERS1,MAPK6
228,MBOAT7,MAPK6
229,METTL2A,MAPK6
230,MZB1,MAPK6
231,RRP7A,MAPK6
232,SNAPC4,MAPK6
233,WDR34,MAPK6
234,ZNF671,MAPK6
235,SUSD4,MAPK6
236,AMPH,PROP1
237,MAGED1,PROP1
238,PLEKHB2,PROP1
239,UBE2I,PROP1
240,SUMO1,PROP1
241,TINAGL1,PROP1
242,RNF4,PROP1
243,DAZAP2,PROP1
244,PSMB4,PROP1
245,AES,PROP1
246,C1ORF94,PROP1
247,BATF2,PROP1
248,EFEMP2,PROP1
249,HDHD3,PROP1
250,CPSF3L,PROP1
251,SMUG1,PROP1
252,RNF144B,PROP1
253,ATN1,PROP1
254,NCDN,PROP1
255,CRYBA1,PROP1
256,PITX2,PROP1
257,FAM168A,PROP1
258,ARSA,PROP1
259,FAM20C,PROP1
260,TRIM42,PROP1
261,CNTN1,PROP1
262,NR1D2,PROP1
263,TBX22,PROP1
264,HESX1,PROP1
265,WBSCR27,PROP1
266,KCTD1,PROP1
267,METTL15,PROP1
268,KRTAP19-7,PROP1
269,P4HA3,PROP1
270,KRTAP8-1,PROP1
271,C9ORF24,PROP1
272,POU6F2,PROP1
273,CYSRT1,PROP1
274,ABHD11,PROP1
275,KRTAP19-1,PROP1
276,KRTAP19-6,PROP1
277,COX6B2,PROP1
278,C6ORF15,PROP1
279,UFSP1,PROP1
280,OXER1,PROP1
281,C19ORF54,PROP1
282,C11ORF1,PROP1
283,ZNF503,PROP1
284,FAM166A,PROP1
285,TMEM42,PROP1
286,PSMB11,PROP1
287,KHDC1,PROP1
288,AMPH,PPP3CC
289,CABIN1,PPP3CC
290,CSNK2B,PPP3CC
291,HAX1,PPP3CC
292,BCL2,PPP3CC
293,THAP7,PPP3CC
294,MLH1,PPP3CC
295,BMPR1B,PPP3CC
296,ITPKC,PPP3CC
297,AMPH,ARL16
298,OPTN,ARL16
299,APP,ARL16
300,APBB2,ARL16
301,REL,ARL16
302,TARDBP,ARL16
303,GOLGA2,ARL16
304,TCF12,ARL16
305,TCF4,ARL16
306,GLYR1,ARL16
307,AMPH,TERF1
308,SH3GL2,TERF1
309,PACSIN2,TERF1
310,SH3GLB1,TERF1
311,ABL1,TERF1
312,SH3GL3,TERF1
313,TRIP10,TERF1
314,ZBTB16,TERF1
315,DBN1,TERF1
316,HIP1,TERF1
317,CFL1,TERF1
318,WFS1,TERF1
319,ARHGDIA,TERF1
320,OPTN,TERF1
321,BRCA1,TERF1
322,EIF4B,TERF1
323,SYK,TERF1
324,RLIM,TERF1
325,DDX21,TERF1
326,HRAS,TERF1
327,SMAD2,TERF1
328,YWHAG,TERF1
329,TERF1,TERF1
330,TINF2,TERF1
331,DLG5,TERF1
332,PRMT1,TERF1
333,NBN,TERF1
334,ATM,TERF1
335,FGFR3,TERF1
336,DDX39A,TERF1
337,ZHX1,TERF1
338,GAPDH,TERF1
339,TBCD,TERF1
340,NAP1L1,TERF1
341,IPO5,TERF1
342,DNAJB1,TERF1
343,STUB1,TERF1
344,PRDX1,TERF1
345,PFKP,TERF1
346,FANCD2,TERF1
347,PA2G4,TERF1
348,PKM,TERF1
349,TALDO1,TERF1
350,PGD,TERF1
351,ALDOA,TERF1
352,GIT1,TERF1
353,UTP14A,TERF1
354,NUB1,TERF1
355,ZFP36L1,TERF1
356,ASS1,TERF1
357,MAPK12,TERF1
358,SUPT5H,TERF1
359,UBQLN1,TERF1
360,SMAD9,TERF1
361,BLM,TERF1
362,EEF1D,TERF1
363,TUBB2A,TERF1
364,PFN2,TERF1
365,CAPNS1,TERF1
366,FBP1,TERF1
367,NME1-NME2,TERF1
368,RTN4,TERF1
369,RIC8A,TERF1
370,CPNE3,TERF1
371,WARS,TERF1
372,MDH1,TERF1
373,RECQL4,TERF1
374,DDX19B,TERF1
375,ANXA5,TERF1
376,EPHX2,TERF1
377,PPM1G,TERF1
378,TERF2,TERF1
379,NOL3,TERF1
380,LRSAM1,TERF1
381,AKTIP,TERF1
382,DNPH1,TERF1
383,TRMT1,TERF1
384,LASP1,TERF1
385,WDR4,TERF1
386,TMSB4Y,TERF1
387,ACY1,TERF1
388,ACD,TERF1
389,DDX23,TERF1
390,TBC1D10A,TERF1
391,FES,TERF1
392,LMNA,TERF1
393,GRIN2C,TERF1
394,ACOT7,TERF1
395,SENP8,TERF1
396,PAK4,TERF1
397,STIP1,TERF1
398,ACAT2,TERF1
399,AHCY,TERF1
400,UBE2M,TERF1
401,SBDS,TERF1
402,DBNL,TERF1
403,TOMM34,TERF1
404,NEK7,TERF1
405,OGFR,TERF1
406,STAG1,TERF1
407,PRKCB,TERF1
408,NF2,TERF1
409,CRYBB1,TERF1
410,TRIOBP,TERF1
411,CASP6,TERF1
412,HEXIM1,TERF1
413,RAN,TERF1
414,GLE1,TERF1
415,BIN2,TERF1
416,RNF10,TERF1
417,HIST1H1A,TERF1
418,RBMY1D,TERF1
419,RBMY1A1,TERF1
420,HOXA3,TERF1
421,TNPO2,TERF1
422,DCX,TERF1
423,HGD,TERF1
424,GAMT,TERF1
425,ANXA8,TERF1
426,ANXA8L1,TERF1
427,HMOX2,TERF1
428,PRDX6,TERF1
429,LAMP2,TERF1
430,GSN,TERF1
431,CRYM,TERF1
432,SPRED1,TERF1
433,PGM1,TERF1
434,SOAT1,TERF1
435,HCLS1,TERF1
436,KLHDC4,TERF1
437,TUBB4B,TERF1
438,AMPD2,TERF1
439,DPYSL3,TERF1
440,BCL7B,TERF1
441,C12ORF43,TERF1
442,ARPP21,TERF1
443,CALD1,TERF1
444,PGLS,TERF1
445,CEP85,TERF1
446,HNMT,TERF1
447,SIRPD,TERF1
448,MT1X,TERF1
449,AK1,TERF1
450,ZNF790,TERF1
451,TRIM16,TERF1
452,PAGE2,TERF1
453,SALL1,TERF1
454,TINAG,TERF1
455,AMPH,PPP3CA
456,GRB2,PPP3CA
457,ABL1,PPP3CA
458,BCL2,PPP3CA
459,STUB1,PPP3CA
460,LASP1,PPP3CA
461,UTRN,PPP3CA
462,SYNJ1,PPP3CA
463,CASP3,PPP3CA
464,TRAF3,PPP3CA
465,NR3C1,PPP3CA
466,JUN,PPP3CA
467,FKBP1A,PPP3CA
468,PRKCZ,PPP3CA
469,ADRB2,PPP3CA
470,PPP3R1,PPP3CA
471,ERBB3,PPP3CA
472,PPIA,PPP3CA
473,C16ORF74,PPP3CA
474,RXRB,PPP3CA
475,TNS4,PPP3CA
476,NFATC2,PPP3CA
477,FKBP8,PPP3CA
478,CRTC2,PPP3CA
479,RCAN1,PPP3CA
480,SHANK2,PPP3CA
481,PPP3CA,PPP3CA
482,UBE4B,PPP3CA
483,PTK7,PPP3CA
484,RCAN2,PPP3CA
485,MYOZ3,PPP3CA
486,NFATC1,PPP3CA
487,FGFR4,PPP3CA
488,AATK,PPP3CA
489,AKAP5,PPP3CA
490,GABRA1,PPP3CA
491,RYK,PPP3CA
492,ATP2B4,PPP3CA
493,GABRB2,PPP3CA
494,SLC6A4,PPP3CA
495,GABRG2,PPP3CA
496,AMPH,BIN1
497,SH3GL2,BIN1
498,GRB2,BIN1
499,TNK2,BIN1
500,SH3GLB1,BIN1
501,DNM1,BIN1
502,PTK2,BIN1
503,BIN1,BIN1
504,APPL1,BIN1
505,UBE2I,BIN1
506,FBP1,BIN1
507,BIN2,BIN1
508,SYNJ1,BIN1
