,gene
0,ELL2
1,EXOSC6
2,HRASLS
3,CAPZA3
4,FAM131C
5,LRRC27
6,MAN2A1
7,SLC35A4
8,PDLIM5
9,QARS
10,INPP5J
11,BOLA2
12,LAPTM5
13,POU6F2
14,INO80C
15,TUBB4A
16,GOSR1
17,GPRC5D
18,KMT2A
19,SAMD7
20,TCEAL1
21,PELI1
22,SPPL2B
23,CACNB1
24,CFHR2
25,DTX2
26,HERC2
27,TXLNG
28,SCEL
29,STMN3
30,JAG2
31,TIPIN
32,GAST
33,MT1G
34,KRTAP4-12
35,ZNF578
36,ZNF445
37,ZNFX1
38,CMIP
39,MAGEA9B
40,ZBTB34
41,PCDHA7
42,CCDC88A
43,FGF19
44,CDA
45,TNRC6A
46,SETBP1
47,ALAS2
48,INTU
49,CHRNA6
50,STC2
51,FAM8A1
52,FOSL1
53,SIRPG
54,APOBEC2
55,ALG3
56,RAB11B
57,PNPLA2
58,ELOF1
59,ARFGEF2
60,KCNG4
61,CST6
62,NOP10
63,TRAF4
64,TCHH
65,A2M
66,TAB1
67,ZNF17
68,MEIS3
69,PRDM8
70,SLC22A7
71,CABP5
72,TMEM263
73,ATP5I
74,FOPNL
75,HSD17B1
76,TCF25
77,HMGCS1
78,KRT6B
79,ARL5A
80,NUDT10
81,BMPR1A
82,GRK1
83,HEMGN
84,CLIP3
85,DLX3
86,SLC46A3
87,KLK9
88,KIF5C
89,VSNL1
90,PCP2
91,IGFL1
92,TRIM22
93,VAC14
94,DNMT3A
95,UNK
96,TRAK1
97,EPN2
98,SH3BP5L
99,ZCRB1
100,CMTM2
101,HGFAC
102,CLCN7
103,HOXC8
104,GABPB2
105,TOR1AIP1
106,TRAPPC13
107,UCN
108,TMCO3
109,TRPV6
110,BACE2
111,MYCT1
112,PVRIG
113,ZNF91
114,NXPH4
115,C9ORF3
116,CNTFR
117,HNRNPH2
118,FLRT1
119,CLEC1B
120,CHUK
121,FCHSD2
122,SRXN1
123,ELMOD3
124,GNAI1
125,GLMN
126,CDK9
127,SOS1
128,FGF13
129,PSMD6
130,OPHN1
131,NPAT
132,RECQL4
133,BOLA1
134,SAP30L
135,M1AP
136,TRIM59
137,HSPA1A
138,MINPP1
139,HELT
140,DYNC1I1
141,YIPF5
142,MRPS23
143,ZAR1
144,GSTO2
145,ARID3C
146,MAF
147,COL8A2
148,PLAA
149,CPEB3
150,SP1
