,gene
0,ABHD17A
1,APLNR
2,ADD1
3,LIX1
4,SENP3
5,ANKRD29
6,C14ORF1
7,PRRC2A
8,GPR39
9,RPL3
10,PLEK
11,THBS2
12,TFIP11
13,AGAP1
14,PPP1R32
15,E2F8
16,DOCK3
17,HSPB6
18,KIAA2026
19,CPSF6
20,MYD88
21,SFXN4
22,PCDH18
23,SOCS5
24,NOA1
25,NRK
26,CABP2
27,M6PR
28,AP1G1
29,QRSL1
30,MTIF2
31,THUMPD1
32,FAM166B
33,ZFP36
34,TMEM225
35,PSMG1
36,FPR2
37,MAP3K12
38,PARD3B
39,WDHD1
40,DCT
41,HS3ST3A1
42,HAGHL
43,MSI1
44,VAPA
45,SLC16A5
46,PPEF2
47,LRRC8C
48,NCOR1
49,C3AR1
50,MGAT5B
51,SMDT1
52,PARK7
53,NEURL4
54,PRAM1
55,VWF
56,PTBP3
57,FLRT3
58,PLSCR1
59,MTFR1
60,AMT
61,SEC24B
62,MCM8
63,PGP
64,PAPD7
65,SLC5A6
66,SLC6A12
67,PITPNM2
68,FAP
69,STX5
70,HHAT
71,ZFR
72,STXBP6
73,TRIM36
74,TMOD3
75,CASC4
76,C1QTNF9
77,SPATA12
78,ASCL2
79,NFE2
80,MLLT11
81,ASCL3
82,ACHE
83,CELF4
84,NDUFA3
85,GPX1
86,GPR137B
87,MTAP
88,SIGMAR1
89,TRPC4
90,KIAA0430
91,DEFB116
92,FAHD1
93,HYAL3
94,TCF24
95,RAET1E
96,LRCH4
97,NTAN1
98,MKRN3
99,LRGUK
100,TMEM18
101,FBXL20
102,BRPF3
103,LNX2
104,RPL35
105,PADI3
106,KRTAP5-4
107,SLC40A1
108,CDKL2
109,PTPRD
110,LCE2B
111,C6ORF106
112,NIPSNAP3A
113,SLC7A6
114,CFL1
115,ATOH1
116,SERTAD3
117,RAB3A
118,MRPL48
119,CSTA
120,DYNLL2
121,S100A1
122,FAM153A
123,PTH
124,TBC1D23
125,INSIG1
126,VPS16
127,NYAP1
128,RNF38
129,MYH1
