"ID","GeneName","Positive"
"ENSG00000142192","APP",0.998259663581848
"ENSG00000150991","UBC",0.990841805934906
"ENSG00000141510","TP53",0.989294171333313
"ENSG00000141736","ERBB2",0.983330368995667
"ENSG00000100393","EP300",0.982995629310608
"ENSG00000172531","PPP1CA",0.978705048561096
"ENSG00000115414","FN1",0.978141069412231
"ENSG00000091831","ESR1",0.975606143474579
"ENSG00000132646","PCNA",0.973933160305023
"ENSG00000169083","AR",0.972059845924377
"ENSG00000146648","EGFR",0.971860289573669
"ENSG00000121879","PIK3CA",0.966165363788605
"ENSG00000135250","SRPK2",0.964773416519165
"ENSG00000005339","CREBBP",0.962488651275635
"ENSG00000080824","HSP90AA1",0.959258496761322
"ENSG00000100225","FBXO7",0.95861029624939
"ENSG00000039068","CDH1",0.958549916744232
"ENSG00000070831","CDC42",0.957607090473175
"ENSG00000197122","SRC",0.957029342651367
"ENSG00000177885","GRB2",0.955587148666382
"ENSG00000100985","MMP9",0.955380797386169
"ENSG00000284792","PTEN",0.951846837997437
"ENSG00000166851","PLK1",0.950760245323181
"ENSG00000082701","GSK3B",0.94580340385437
"ENSG00000134982","APC",0.945463180541992
"ENSG00000067560","RHOA",0.940909504890442
"ENSG00000087586","AURKA",0.940423011779785
"ENSG00000065361","ERBB3",0.936831116676331
"ENSG00000181222","POLR2A",0.925478339195251
"ENSG00000095015","MAP3K1",0.925137162208557
"ENSG00000087245","MMP2",0.923399329185486
"ENSG00000108821","COL1A1",0.922424077987671
"ENSG00000187498","COL4A1",0.921714901924133
"ENSG00000139219","COL2A1",0.921138823032379
"ENSG00000012048","BRCA1",0.921021521091461
"ENSG00000127616","SMARCA4",0.91922390460968
"ENSG00000196924","FLNA",0.918144702911377
"ENSG00000175104","TRAF6",0.918122410774231
"ENSG00000142798","HSPG2",0.917932510375977
"ENSG00000196878","LAMB3",0.917621254920959
"ENSG00000087510","TFAP2C",0.916397571563721
"ENSG00000136238","RAC1",0.915423989295959
"ENSG00000128513","POT1",0.91472852230072
"ENSG00000261609","GAN",0.914379835128784
"ENSG00000075624","ACTB",0.912594079971313
"ENSG00000178568","ERBB4",0.912479221820831
"ENSG00000076242","MLH1",0.912395119667053
"ENSG00000150093","ITGB1",0.911901116371155
"ENSG00000170365","SMAD1",0.91034597158432
"ENSG00000141646","SMAD4",0.908771634101868
"ENSG00000162946","DISC1",0.906896829605103
"ENSG00000011465","DCN",0.906397938728333
"ENSG00000109670","FBXW7",0.904952585697174
"ENSG00000064012","CASP8",0.903640985488892
"ENSG00000111642","CHD4",0.902778625488281
"ENSG00000137801","THBS1",0.901786923408508
"ENSG00000171681","ATF7IP",0.900853931903839
"ENSG00000110092","CCND1",0.898725748062134
"ENSG00000163520","FBLN2",0.898694753646851
"ENSG00000175387","SMAD2",0.897868394851685
"ENSG00000188612","SUMO2",0.896968483924866
"ENSG00000140443","IGF1R",0.896893680095673
"ENSG00000116962","NID1",0.895748257637024
"ENSG00000147010","SH3KBP1",0.895561575889587
"ENSG00000186298","PPP1CC",0.895325064659119
"ENSG00000166949","SMAD3",0.891143143177032
"ENSG00000173039","RELA",0.889930784702301
"ENSG00000168036","CTNNB1",0.889480292797089
"ENSG00000169375","SIN3A",0.888655662536621
"ENSG00000116478","HDAC1",0.886941432952881
"ENSG00000141027","NCOR1",0.886903285980225
"ENSG00000140464","PML",0.885802388191223
"ENSG00000170312","CDK1",0.882158756256104
"ENSG00000139687","RB1",0.881362557411194
"ENSG00000102081","FMR1",0.880237340927124
"ENSG00000145675","PIK3R1",0.87952446937561
"ENSG00000155657","TTN",0.8786461353302
"ENSG00000114270","COL7A1",0.877913475036621
"ENSG00000175793","SFN",0.875866055488586
"ENSG00000284099","SQSTM1",0.874845027923584
"ENSG00000196419","XRCC6",0.871915400028229
"ENSG00000130635","COL5A1",0.870466411113739
"ENSG00000137203","TFAP2A",0.869478821754456
"ENSG00000141837","CACNA1A",0.868645787239075
"ENSG00000169031","COL4A3",0.867395162582397
"ENSG00000072501","SMC1A",0.86636745929718
"ENSG00000183765","CHEK2",0.865568399429321
"ENSG00000099250","NRP1",0.864546120166779
"ENSG00000058085","LAMC2",0.864471614360809
"ENSG00000274474","YWHAE",0.863391160964966
"ENSG00000166147","FBN1",0.862214505672455
