"ID","GeneName","Positive"
"ENSG00000141510","TP53",0.990834474563599
"ENSG00000155657","TTN",0.988399267196655
"ENSG00000181143","MUC16",0.978594422340393
"ENSG00000142192","APP",0.975135087966919
"ENSG00000150991","UBC",0.974439680576324
"ENSG00000162946","DISC1",0.971978068351746
"ENSG00000115414","FN1",0.961577415466309
"ENSG00000177885","GRB2",0.960869312286377
"ENSG00000010810","FYN",0.952087700366974
"ENSG00000168702","LRP1B",0.95150238275528
"ENSG00000040731","CDH10",0.94057285785675
"ENSG00000282932","PTPRD",0.937788367271423
"ENSG00000178568","ERBB4",0.93605649471283
"ENSG00000197122","SRC",0.935325980186462
"ENSG00000261609","GAN",0.932884693145752
"ENSG00000158092","NCK1",0.931433320045471
"ENSG00000198626","RYR2",0.927784562110901
"ENSG00000091656","ZFHX4",0.92464804649353
"ENSG00000146648","EGFR",0.920619904994965
"ENSG00000113100","CDH9",0.912926435470581
"ENSG00000102081","FMR1",0.910562634468079
"ENSG00000187498","COL4A1",0.909672141075134
"ENSG00000135636","DYSF",0.909281373023987
"ENSG00000145675","PIK3R1",0.908904075622559
"ENSG00000135250","SRPK2",0.90673840045929
"ENSG00000198668","CALM1",0.901031732559204
"ENSG00000011465","DCN",0.892523646354675
"ENSG00000133703","KRAS",0.891815543174744
"ENSG00000097007","ABL1",0.891753435134888
"ENSG00000128052","KDR",0.891668438911438
"ENSG00000198947","DMD",0.890180945396423
"ENSG00000080824","HSP90AA1",0.889898836612701
"ENSG00000019169","MARCO",0.889507412910461
"ENSG00000282956","MAGI1",0.889053523540497
"ENSG00000124181","PLCG1",0.888457894325256
"ENSG00000169862","CTNND2",0.888080358505249
"ENSG00000182866","LCK",0.881952285766602
"ENSG00000273079","GRIN2B",0.881892561912537
"ENSG00000136869","TLR4",0.880003452301025
"ENSG00000168036","CTNNB1",0.878480911254883
"ENSG00000172531","PPP1CA",0.875696420669556
"ENSG00000110395","CBL",0.873456060886383
"ENSG00000163554","SPTA1",0.872559726238251
"ENSG00000164692","COL1A2",0.872278094291687
"ENSG00000113361","CDH6",0.868329882621765
"ENSG00000254087","LYN",0.86806982755661
"ENSG00000012048","BRCA1",0.868058681488037
"ENSG00000134308","YWHAQ",0.863664507865906
"ENSG00000066032","CTNNA2",0.862840056419373
"ENSG00000196924","FLNA",0.862079918384552
"ENSG00000081479","LRP2",0.861406683921814
"ENSG00000101825","MXRA5",0.860827803611755
"ENSG00000069869","NEDD4",0.860614836215973
"ENSG00000116147","TNR",0.860260009765625
"ENSG00000166147","FBN1",0.860238909721375
"ENSG00000100393","EP300",0.859738111495972
"ENSG00000130635","COL5A1",0.859605491161346
"ENSG00000157766","ACAN",0.857369303703308
"ENSG00000166710","B2M",0.856457769870758
"ENSG00000123384","LRP1",0.855475604534149
"ENSG00000079999","KEAP1",0.855079650878906
"ENSG00000151067","CACNA1C",0.854458212852478
"ENSG00000112697","TMEM30A",0.854006886482239
