"ID","GeneName","Positive"
"ENSG00000078053","AMPH",0.558312773704529
"ENSG00000159082","SYNJ1",0.603093147277832
"ENSG00000141985","SH3GL1",0.597045838832855
"ENSG00000106976","DNM1",0.555092215538025
"ENSG00000079805","DNM2",0.633320808410645
"ENSG00000197959","DNM3",0.485940128564835
"ENSG00000183386","FHL3",0.538773417472839
"ENSG00000115641","FHL2",0.622138261795044
"ENSG00000085832","EPS15",0.601956963539124
"ENSG00000166508","MCM7",0.598654448986053
"ENSG00000169083","AR",0.836622476577759
"ENSG00000115904","SOS1",0.739765405654907
"ENSG00000136754","ABI1",0.71333909034729
"ENSG00000097007","ABL1",0.813052892684937
"ENSG00000112290","WASF1",0.654438555240631
"ENSG00000169891","REPS2",0.49998527765274
"ENSG00000063245","EPN1",0.487173199653625
"ENSG00000134769","DTNA",0.624225080013275
"ENSG00000152818","UTRN",0.676498472690582
"ENSG00000102385","DRP2",0.47639873623848
"ENSG00000198947","DMD",0.649846374988556
"ENSG00000173402","DAG1",0.584996938705444
"ENSG00000145675","PIK3R1",0.844744205474854
"ENSG00000078061","ARAF",0.663391709327698
"ENSG00000185624","P4HB",0.563210427761078
"ENSG00000123500","COL10A1",0.230464339256287
"ENSG00000179218","CALR",0.604216635227203
"ENSG00000167004","PDIA3",0.533527493476868
"ENSG00000136807","CDK9",0.641037702560425
"ENSG00000129315","CCNT1",0.60760098695755
"ENSG00000113387","SUB1",0.535208284854889
"ENSG00000101266","CSNK2A1",0.680202007293701
"ENSG00000012048","BRCA1",0.792735457420349
"ENSG00000114030","KPNA1",0.623642563819885
"ENSG00000070756","PABPC1",0.501953601837158
"ENSG00000169564","PCBP1",0.570582270622253
"ENSG00000197111","PCBP2",0.495366871356964
"ENSG00000143801","PSEN2",0.542792618274689
"ENSG00000018408","WWTR1",0.635242938995361
"ENSG00000065054","SLC9A3R2",0.591300785541534
"ENSG00000159216","RUNX1",0.744437098503113
"ENSG00000164924","YWHAZ",0.708061575889587
"ENSG00000138641","HERC3",0.542641162872314
"ENSG00000150991","UBC",0.605452239513397
"ENSG00000096968","JAK2",0.801088452339172
"ENSG00000162434","JAK1",0.780196309089661
"ENSG00000166349","RAG1",0.618610620498657
"ENSG00000095015","MAP3K1",0.621916830539703
"ENSG00000274474","YWHAE",0.654386341571808
"ENSG00000169967","MAP3K2",0.541254460811615
"ENSG00000166913","YWHAB",0.556927859783173
"ENSG00000140443","IGF1R",0.768449544906616
"ENSG00000205726","ITSN1",0.605784296989441
"ENSG00000133961","NUMB",0.53643661737442
"ENSG00000173744","AGFG1",0.514797210693359
"ENSG00000101773","RBBP8",0.586586892604828
"ENSG00000103479","RBL2",0.602775633335114
"ENSG00000159692","CTBP1",0.604622721672058
"ENSG00000136068","FLNB",0.642639636993408
"ENSG00000080815","PSEN1",0.657436728477478
"ENSG00000196924","FLNA",0.746335804462433
"ENSG00000171552","BCL2L1",0.615612745285034
"ENSG00000075142","SRI",0.397629737854004
"ENSG00000135018","UBQLN1",0.608045399188995
"ENSG00000113558","SKP1",0.59290623664856
"ENSG00000166167","BTRC",0.730527400970459
"ENSG00000114867","EIF4G1",0.517319321632385
"ENSG00000075151","EIF4G3",0.447193443775177
"ENSG00000177426","TGIF1",0.613388121128082
"ENSG00000185043","CIB1",0.529573082923889
"ENSG00000144283","PKP4",0.589349746704102
"ENSG00000117751","PPP1R8",0.349263548851013
"ENSG00000096401","CDC5L",0.487109750509262
"ENSG00000148773","MKI67",0.587537229061127
"ENSG00000280610","KIF15",0.504659473896027
"ENSG00000091831","ESR1",0.828355967998505
"ENSG00000123104","ITPR2",0.551423728466034
"ENSG00000133107","TRPC4",0.576906621456146
"ENSG00000100823","APEX1",0.58519983291626
"ENSG00000237724","HSPA1A",0.666490852832794
"ENSG00000224501","HSPA1B",0.544069051742554
"ENSG00000071051","NCK2",0.627496957778931
"ENSG00000150760","DOCK1",0.6270392537117
"ENSG00000150093","ITGB1",0.719256222248077
"ENSG00000135945","REV1",0.542598962783813
"ENSG00000135424","ITGA7",0.482815951108932
"ENSG00000005884","ITGA3",0.585282266139984
"ENSG00000185591","SP1",0.812013983726501
"ENSG00000047936","ROS1",0.601381242275238
"ENSG00000111679","PTPN6",0.843949854373932
"ENSG00000108840","HDAC5",0.701052188873291
"ENSG00000160447","PKN3",0.442642629146576
"ENSG00000075651","PLD1",0.615098834037781
"ENSG00000138101","DTNB",0.351307243108749
"ENSG00000148516","ZEB1",0.668570995330811
"ENSG00000151247","EIF4E",0.500832200050354
"ENSG00000187840","EIF4EBP1",0.532290399074554
"ENSG00000148730","EIF4EBP2",0.436616897583008
"ENSG00000139687","RB1",0.80181360244751
"ENSG00000010671","BTK",0.755861639976501
"ENSG00000154556","SORBS2",0.567596435546875
"ENSG00000107295","SH3GL2",0.591353476047516
"ENSG00000172531","PPP1CA",0.632501006126404
"ENSG00000123240","OPTN",0.539339661598206
"ENSG00000197386","HTT",0.514873206615448
"ENSG00000136535","TBR1",0.546751081943512
"ENSG00000147044","CASK",0.643706321716309
"ENSG00000089169","RPH3A",0.556657791137695
"ENSG00000165806","CASP7",0.647436857223511
"ENSG00000101966","XIAP",0.669081747531891
"ENSG00000164305","CASP3",0.74401468038559
"ENSG00000058272","PPP1R12A",0.629575133323669
"ENSG00000104936","DMPK",0.44443216919899
"ENSG00000141510","TP53",0.873617053031921
"ENSG00000005339","CREBBP",0.870573759078979
"ENSG00000169375","SIN3A",0.736643850803375
"ENSG00000134243","SORT1",0.565186977386475
"ENSG00000103365","GGA2",0.392835408449173
"ENSG00000184047","DIABLO",0.376566529273987
"ENSG00000110330","BIRC2",0.613949835300446
"ENSG00000023445","BIRC3",0.599397957324982
"ENSG00000254087","LYN",0.822204232215881
"ENSG00000169398","PTK2",0.778002500534058
"ENSG00000077522","ACTN2",0.604298055171967
"ENSG00000182255","KCNA4",0.645648062229156
"ENSG00000130037","KCNA5",0.663848102092743
"ENSG00000100644","HIF1A",0.763078451156616
"ENSG00000101182","PSMA7",0.329865217208862
"ENSG00000118503","TNFAIP3",0.626000642776489
